City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,yorkton,51.2167,-102.4677,258.06,85,100,3.09,CA,1704542341
318,nova vicosa,-17.8919,-39.3719,299.65,83,100,1.93,BR,1704542343
319,cooma,-36.2333,149.1333,288.61,94,64,1.95,AU,1704542344
320,sur,22.5667,59.5289,299.02,47,52,5.67,OM,1704542345
321,birjand,32.8663,59.2211,291.41,17,20,6.17,IR,1704542345
322,kyzyl,51.7,94.45,253.16,90,100,0.45,RU,1704542346
323,magdagachi,53.45,125.8,246.09,94,76,1.92,RU,1704542347
324,anar darah,32.7587,61.654,289.9,33,0,7.95,AF,1704542349
325,minas de marcona,-15.2119,-75.1103,290.59,81,86,4.08,PE,1704542350
326,island harbour,50.724,-1.2758,281.5,84,30,2.24,GB,1704542351
327,meleuz,52.9667,55.9167,262.97,97,100,0.79,RU,1704542351
328,fuglafjordur,62.244,-6.814,278.41,73,89,8.57,FO,1704542352
329,ingeniero jacobacci,-41.3427,-69.5448,289.43,45,49,7.43,AR,1704542355
330,giddings,30.1827,-96.9364,279.07,81,0,0.0,US,1704542356
331,polyarnyy,69.1989,33.4478,254.26,100,97,4.82,RU,1704542356
332,caarapo,-22.6342,-54.8222,301.49,52,0,1.7,BR,1704542357
333,chonchi,-42.6128,-73.8092,285.99,91,14,0.3,CL,1704542358
334,maumere,-8.6199,122.2111,301.11,78,100,1.14,ID,1704542359
335,sretensk,52.2453,117.7093,241.28,98,4,0.46,RU,1704542360
336,gryazovets,58.88,40.2525,245.48,98,65,1.56,RU,1704542361
337,hanceville,34.0607,-86.7675,282.68,99,100,1.53,US,1704542362
338,oelwein,42.6733,-91.9135,271.24,95,100,0.45,US,1704542363
339,chuzhou,32.3219,118.2978,280.35,73,2,1.81,CN,1704542364
340,litchfield,41.7668,-73.2501,268.86,85,83,0.45,US,1704542365
341,la'ie,21.6477,-157.9253,295.13,84,28,3.9,US,1704542367
342,lata,40.1629,-8.3327,282.08,75,70,1.03,PT,1704542368
343,torbat-e jam,35.244,60.6225,288.72,34,2,6.57,IR,1704542369
344,goodlands,-20.035,57.6431,303.7,78,99,0.45,MU,1704542370
345,saldanha,-33.0117,17.9442,298.18,63,45,5.38,ZA,1704542370
346,villa tecolutilla,18.2833,-93.3167,294.92,88,1,3.03,MX,1704542371
347,ghat,24.9647,10.1728,299.61,10,0,4.82,LY,1704542372
348,papao,-17.75,-149.55,297.97,72,100,2.83,PF,1704542351
349,zinder,13.8072,8.9881,303.13,13,0,3.6,NE,1704542373
350,big rapids,43.6981,-85.4837,272.42,88,100,3.09,US,1704542374
351,jamkhandi,16.5167,75.3,301.81,33,84,2.18,IN,1704542376
352,nemuro,43.3236,145.575,273.23,72,81,2.84,JP,1704542343
353,joao camara,-5.5375,-35.8197,301.12,59,88,5.05,BR,1704542377
354,horodok,49.1637,26.5839,276.54,67,85,1.88,UA,1704542378
355,phan thiet,10.9333,108.1,298.52,80,75,5.41,VN,1704542337
356,utrik,11.2278,169.8474,299.67,68,78,7.41,MH,1704542379
357,bereznik,62.8551,42.7072,243.44,99,82,0.4,RU,1704542380
358,tura,25.5198,90.2201,289.26,64,33,1.51,IN,1704542381
